1704296700000,20240103,4160000,C,526700,533900,1,1
1704296700000,20240103,4480000,C,208100,213900,1,1
1704296700000,20240103,4800000,P,107200,110700,1,1
1704296700000,20240103,4370000,C,316500,324100,1,1
1704296700000,20240103,4050000,C,636600,643800,1,1
1704296700000,20240103,4690000,C,3400,3500,1,1
1704296700000,20240103,4690000,P,3100,3200,1,1
1704296700000,20240103,4260000,C,426700,434000,1,1
1704296700000,20240103,4580000,C,109100,113600,1,1
1704296700000,20240103,4900000,P,206000,211900,1,1
1704296700000,20240103,4150000,C,536500,544000,1,1
1704296700000,20240103,4470000,C,219000,223900,1,1
1704296700000,20240103,4790000,P,96700,100700,1,1
1704296700000,20240103,4360000,C,326700,334000,1,1
1704296700000,20240103,4040000,C,649600,651600,1,1
1704296700000,20240103,5000000,P,305800,313000,1,1
1704296700000,20240103,4680000,C,10600,11400,1,1
1704296700000,20240103,4680000,P,500,600,1,1
1704296700000,20240103,4250000,C,436500,443900,1,1
1704296700000,20240103,4570000,C,119100,123800,1,1
1704296700000,20240103,4890000,P,195800,201000,1,1
1704296700000,20240103,4140000,C,546500,553800,1,1
1704296700000,20240103,4460000,C,227700,233700,1,1
1704296700000,20240103,4780000,P,86400,90900,1,1
1704296700000,20240103,5100000,P,405900,413200,1,1
1704296700000,20240103,4350000,C,338100,343600,1,1
1704296700000,20240103,4030000,C,659600,661600,1,1
1704296700000,20240103,4670000,C,20200,20600,1,1
1704296700000,20240103,4670000,P,100,200,1,1
1704296700000,20240103,4990000,P,296000,303300,1,1
1704296700000,20240103,4240000,C,446500,454000,1,1
1704296700000,20240103,4560000,C,129000,134000,1,1
1704296700000,20240103,5200000,P,505900,513200,1,1
1704296700000,20240103,4880000,P,186100,191900,1,1
1704296700000,20240103,4130000,C,556600,563800,1,1
1704296700000,20240103,4450000,C,238100,243500,1,1
1704296700000,20240103,4770000,P,76200,82500,1,1
1704296700000,20240103,4340000,C,346500,354000,1,1
1704296700000,20240103,4020000,C,669600,671600,1,1
1704296700000,20240103,4660000,C,30100,31000,1,1
1704296700000,20240103,4980000,P,286100,293200,1,1
1704296700000,20240103,5300000,P,606100,613000,1,1
1704296700000,20240103,4230000,C,456500,464000,1,1
1704296700000,20240103,4550000,C,139000,143500,1,1
1704296700000,20240103,4870000,P,176300,181900,1,1
1704296700000,20240103,4120000,C,566600,574000,1,1
1704296700000,20240103,4440000,C,246500,253900,1,1
1704296700000,20240103,4760000,P,68800,72600,1,1
1704296700000,20240103,5400000,P,708600,710700,1,1
1704296700000,20240103,4330000,C,356600,363800,1,1
1704296700000,20240103,4650000,C,40000,44100,1,1
1704296700000,20240103,4970000,P,276000,283400,1,1
1704296700000,20240103,4220000,C,466600,473700,1,1
1704296700000,20240103,4540000,C,148100,152800,1,1
1704296700000,20240103,4860000,P,166000,170900,1,1
1704296700000,20240103,4110000,C,576500,584000,1,1
1704296700000,20240103,4430000,C,256600,264000,1,1
1704296700000,20240103,4750000,P,59200,61500,1,1
1704296700000,20240103,4320000,C,366500,374100,1,1
1704296700000,20240103,4640000,C,49200,53900,1,1
1704296700000,20240103,4960000,P,266000,273400,1,1
1704296700000,20240103,4210000,C,476500,484000,1,1
1704296700000,20240103,4530000,C,159000,162800,1,1
1704296700000,20240103,4850000,P,156200,161900,1,1
1704296700000,20240103,4100000,C,586500,594000,1,1
1704296700000,20240103,4420000,C,266500,273900,1,1
1704296700000,20240103,4740000,P,48700,53200,1,1
1704296700000,20240103,4310000,C,376600,383900,1,1
1704296700000,20240103,4950000,P,256100,263200,1,1
1704296700000,20240103,4630000,C,59200,63900,1,1
1704296700000,20240103,4200000,C,486600,494000,1,1
1704296700000,20240103,4520000,C,168100,173600,1,1
1704296700000,20240103,4840000,P,146100,151900,1,1
1704296700000,20240103,4090000,C,596500,603700,1,1
1704296700000,20240103,4410000,C,276600,283900,1,1
1704296700000,20240103,4730000,P,39500,40000,1,1
1704296700000,20240103,5050000,P,356600,363100,1,1
1704296700000,20240103,4300000,C,386700,394000,1,1
1704296700000,20240103,4940000,P,246100,253300,1,1
1704296700000,20240103,4620000,C,69200,73800,1,1
1704296700000,20240103,4190000,C,496600,503900,1,1
1704296700000,20240103,4510000,C,178100,183700,1,1
1704296700000,20240103,4830000,P,136000,140600,1,1
1704296700000,20240103,5150000,P,455900,463300,1,1
1704296700000,20240103,5250000,P,555800,563100,1,1
1704296700000,20240103,4400000,C,288100,293700,1,1
1704296700000,20240103,4080000,C,606500,614000,1,1
1704296700000,20240103,4720000,P,29100,30000,1,1
1704296700000,20240103,4290000,C,396500,403900,1,1
1704296700000,20240103,4930000,P,236000,243400,1,1
1704296700000,20240103,4610000,C,79100,84000,1,1
1704296700000,20240103,5350000,P,658600,660700,1,1
1704296700000,20240103,4500000,C,188100,193700,1,1
1704296700000,20240103,4180000,C,506500,514000,1,1
1704296700000,20240103,4820000,P,126100,130700,1,1
